smiles,HOMO (eV),Bandgap (eV),Mw (kg/mol),PCE_ave
*c1ccc(C2=C3C(=O)N(CC(CC)CCCC)C(c4ccc(-c5cc6c(s5)-c5sc(*)cc5[Si]6(CC(CC)CCCC)CC(CC)CCCC)s4)=C3C(=O)N2CC(CC)CCCC)s1,-1.33,-2.08,-0.42,2.1
*c1ccc(C2=C3C(=O)N(CC(CC)CCCC)C(c4ccc(-c5cc6c(OCCCCCCCC)c7sc(*)cc7c(OCCCCCCCC)c6s5)s4)=C3C(=O)N2CC(CC)CCCC)s1,-0.79,-1.98,-0.5,2.53
*c1ccc(C2=C3C(=O)N(CC(CC)CCCC)C(c4ccc(-c5cc6c(C(CC)CCCCC)c(C(CC)CCCCC)c7cc(*)sc7c6s5)s4)=C3C(=O)N2CC(CC)CCCC)s1,-0.56,-1.83,-0.3,4.31
*c1ccc(C2=C3C(=O)N(CC(CC)CCCC)C(c4ccc(-c5sc(-c6cc(-c7ccc(C[C@H](CC)CCCC)s7)c(*)s6)cc5-c5ccc(C[C@@H](CC)CCCC)s5)s4)=C3C(=O)N2CC(CC)CCCC)s1,-0.74,-2.08,-0.51,2.43
*c1sc(-c2cc(-c3ccc(C[C@@H](CC)CCCC)s3)c(-c3ccc(*)c4nsnc34)s2)cc1-c1ccc(CC(CC)CCCC)s1,0.85,0.8,-0.5,1.39
*c1ccc(-c2ccc(-c3ccc(-c4sc(-c5cc(-c6ccc(CC(CC)CCCC)s6)c(*)s5)cc4-c4ccc(C[C@@H](CC)CCCC)s4)s3)c3nsnc23)s1,-1.33,-0.56,-0.46,1.28
*c1ccc(-c2ccc(-c3ccc(-c4sc(-c5cc(-c6ccc(CC(CC)CCCC)s6)c(*)s5)cc4-c4ccc(C[C@@H](CC)CCCC)s4)s3)c3nc(-c4ccc(OCC(CC)CCCC)cc4)c(-c4ccc(OCC(CC)CCCC)cc4)nc23)s1,-0.24,0.56,-0.45,1.29
*c1ccc(C2=C3C(=O)N(CC(CC)CCCC)C(c4ccc(-c5cc6c(s5)-c5sc(*)cc5C6(CCCCCCCC)CCCCCCCC)s4)=C3C(=O)N2CC(CC)CCCC)s1,-1.74,-1.98,-0.37,2.27
*c1cc2c(OCCCCCCCC)c3sc(-c4sc(*)c5cc(C(=O)OCCCCCCCCCCCC)sc45)cc3c(OCCCCCCCC)c2s1,-1.97,-0.66,-0.48,5.6
*c1cc2c(OCC(CC)CCCC)c3sc(-c4sc(*)c5sc(C(=O)C(CC)CCCC)cc45)cc3c(OCC(CC)CCCC)c2s1,-0.97,-0.52,-0.43,6.58
*c1cc2sc3c(OCC(CCCCCC)CCCCCCCC)c4c(sc5cc(-c6sc(*)c7sc(C(=O)CC(CC)CCCC)cc67)sc54)c(OCC(CCCCCC)CCCCCCCC)c3c2s1,-0.83,-0.61,0.28,3.64
*c1cc2c(OCCCCCCCCCCCC)c3sc(-c4sc(*)c5c4C(=O)N(CC(C#CC#CC#CC#CC#C)CCCCCCCC)C5=O)cc3c(OCCCCCCCCCCCC)c2s1,0.39,0.6,0.48,3.42
*c1cc2c(OCC(CC)CCCC)c3sc(-c4sc(*)c5c4C(=O)N(CC(C#CC#CC#CC#CC#C)CCCCCCCC)C5=O)cc3c(OCC(CC)CCCC)c2s1,0.48,0.6,3.66,4.79
*c1sc(-c2cc(OCCCCCCCCCCCC)c(-c3sc(*)c4c3C(=O)N(CCCCCCCCCCCC)C4=O)s2)cc1OCCCCCCCCCCCC,-2.19,-1.05,0,1.44
*c1sc(-c2cc(OCCCCCCCCCCCC)c(-c3sc(*)c4c3C(=O)N(CC(CCCC)CCCCCC)C4=O)s2)cc1OCCCCCCCCCCCC,-1.29,-1.05,0.14,0.57
*c1cc2c(s1)-c1sc(-c3sc(*)c4c3C(=O)N(CCCCCCCCCCCC)C4=O)cc1C2(CCCCCCCC)CCCCCCCC,-0.33,-0.22,1.51,3.06
*c1cc2c(s1)-c1sc(-c3sc(*)c4c3C(=O)N(CCCCCCCC)C4=O)cc1[Si]2(CC(CC)CCCC)CC(CC)CCCC,1.07,-0.13,-0.32,7.3
*/C=C/c1cc2c(OCCCCCCCCCCCC)c3sc(*)cc3c(OCCCCCCCCCCCC)c2s1,-1.2,1.53,0.41,0.25
*c1ccc(-c2cc3c(OCCCCCCCCCCCC)c4sc(*)cc4c(OCCCCCCCCCCCC)c3s2)s1,-1.29,1.68,-0.04,1.6
*c1cc2c(OCCCCCCCCCCCC)c3sc(-c4sc(*)c5c4OCCO5)cc3c(OCCCCCCCCCCCC)c2s1,-3.51,1.24,-0.25,0.36
*c1cc2c(OCCCCCCCCCCCC)c3sc(-c4ccc(*)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)cc3c(OCCCCCCCCCCCC)c2s1,-2.51,-0.42,-0.36,0.23
*c1cc2c(OCCCCCCCCCCCC)c3sc(-c4ccc(*)c5nsnc45)cc3c(OCCCCCCCCCCCC)c2s1,-1.06,-0.08,-0.42,0.9
*c1cc2c(OCCCCCCCCCCCC)c3sc(-c4sc(*)c5nccnc45)cc3c(OCCCCCCCCCCCC)c2s1,-3.1,-3.24,-0.1,0.11
*c1cc2c(OCCCCCCCCCCCC)c3sc(-c4ccc(*)c5n[se]nc45)cc3c(OCCCCCCCCCCCC)c2s1,-2.06,-0.95,-0.39,0.18
*c1cc2c(-c3cc(CCCCCC)c(CC(CC)CCCC)s3)c3sc(-c4ccc(*)c5nsnc45)cc3c(-c3cc(CCCCCC)c(CC(CC)CCCC)s3)c2s1,0.53,0.17,2.71,9.15
*c1cc2c(OCC(CC)CCCC)c3sc(-c4sc(*)c5c4C(=O)N(CCCCCCCC)C5=O)cc3c(OCC(CC)CCCC)c2s1,1.03,0.41,-0.4,5.5
*c1ccc(-c2sc(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(*)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c3c2C(=O)c2c(CC(CC)CCCC)sc(CC(CC)CCCC)c2C3=O)s1,-0.47,0.41,-0.55,6.67
*c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(*)cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)s3)c3nc(-c4ccc(OCCCCCCCC)cc4)c(-c4ccc(OCCCCCCCC)cc4)nc23)s1,-1.29,0.07,-0.25,8.55
*c1ccc(-c2ccc(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(*)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c3nc(-c4ccc(OCCCCCCCC)cc4)c(-c4ccc(OCCCCCCCC)cc4)nc23)s1,-3.06,-0.37,0.86,5.63
*c1ccc(-c2ccc(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(*)cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)s3)c3nc(-c4ccc(OCCCCCCCC)cc4)c(-c4ccc(OCCCCCCCC)cc4)nc23)s1,-2.15,-0.27,-0.48,6.25
*c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(*)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c3nc(-c4ccc(OCCCCCCCC)cc4)c(-c4ccc(OCCCCCCCC)cc4)nc23)s1,-1.88,-0.17,-0.18,7.39
*c1cc2c(-c3ccc(CC(CC)CCCC)s3)c3sc(-c4sc(*)c5cc(S(=O)(=O)CC(CCCCCC)CCCCCCCC)sc45)cc3c(-c3ccc(CC(CC)CCCC)s3)c2s1,-0.2,-0.52,4.26,5.93
*c1cc2sc3c(-c4ccc(C[C@@H](CC)CCCC)s4)c4c(sc5cc(-c6sc(*)c7cc(S(=O)(=O)CC(CCCCCC)CCCCCCCC)sc67)sc54)c(-c4ccc(C[C@H](CC)CCCC)s4)c3c2s1,-0.56,-0.61,0.17,7.79
*c1ccc(-c2sc(-c3ccc(-c4cc5c(-c6ccc(C[C@@H](CC)CCCC)s6)c6sc(*)cc6c(-c6ccc(C[C@H](CC)CCCC)s6)c5s4)s3)c3sc(S(=O)(=O)CC(CCCCCC)CCCCCCCC)cc23)s1,-1.33,-0.61,0.25,7.48
*c1cc2c(OCC(CCCCCC)CCCCCCCC)c3sc(-c4ccc(*)c5nsnc45)cc3c(OCC(CCCCCC)CCCCCCCC)c2s1,-0.51,-0.22,0.8,1.71
*c1cc2c(OCC(CC)CCCC)c3sc(-c4sc(-c5ccc(-c6cc(CC(CC)CCCC)c(*)s6)c6nsnc56)cc4CC(CC)CCCC)cc3c(OCC(CC)CCCC)c2s1,-0.42,0.02,1.89,7.4
*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(-c5cc6c(OC[C@@H](CC)CCCC)c7sc(*)cc7c(OC[C@@H](CC)CCCC)c6s5)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,-0.2,-1.3,0.07,2.83
*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(-c5cc6c(-c7ccc(C[C@@H](CC)CCCC)s7)c7sc(*)cc7c(-c7ccc(C[C@@H](CC)CCCC)s7)c6s5)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,-0.2,-1.3,-0.21,4.23
*c1cc2sc(C3=C4C(=O)N(CC(CCCCCC)CCCCCCCC)C(c5cc6sc(-c7cc8c(-c9ccc(CC(CC)CCCC)s9)c9sc(*)cc9c(-c9ccc(CC(CC)CCCC)s9)c8s7)cc6s5)=C4C(=O)N3CC(CCCCCC)CCCCCCCC)cc2s1,-1.29,-1.39,-0.3,6.18
*c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(CC(CCCC)CCCCCC)c6sc(*)cc6c(CC(CCCC)CCCCCC)c5s4)s3)c3nc(-c4ccc(OCCCCCCCC)cc4)c(-c4ccc(OCCCCCCCC)cc4)nc23)s1,3.03,0.26,1.29,5.3
*c1cc2sc(-c3c(F)c(F)c(-c4cc5sc(-c6cc7c(CC(CCCC)CCCCCC)c8sc(*)cc8c(CC(CCCC)CCCCCC)c7s6)cc5s4)c4nc(-c5ccc(OCCCCCCCC)cc5)c(-c5ccc(OCCCCCCCC)cc5)nc34)cc2s1,2.57,-0.03,-0.34,5.29
*c1ccc(-c2ccc(-c3sc(-c4ccc(-c5ccc(-c6cc7c(OCC(CC)CCCC)c8sc(*)cc8c(OCC(CC)CCCC)c7s6)s5)s4)c4c3C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C4=O)s2)s1,0.26,0.6,-0.58,3.3
*c1cc2sc(-c3sc(-c4cc5sc(-c6cc7c(OCC(CC)CCCC)c8sc(*)cc8c(OCC(CC)CCCC)c7s6)cc5s4)c4c3C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C4=O)cc2s1,0.62,0.51,-0.01,5.55
*c1cc2c(OCC(CC)CCCC)c3sc(-c4sc5cc(-c6sc(-c7cc8sc(*)c(CCCCCC)c8s7)c7c6C(=O)N(CC(CCCC)CCCCCC)C7=O)sc5c4CCCCCC)cc3c(OCC(CC)CCCC)c2s1,0.39,0.85,0.56,5.77
*c1cc2c(-c3ccc(CC(CC)CCCC)s3)c3sc(-c4sc5cc(-c6sc(-c7cc8sc(*)c(CCCCCC)c8s7)c7c6C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C7=O)sc5c4CCCCCC)cc3c(-c3ccc(CC(CC)CCCC)s3)c2s1,0.21,0.65,-0.28,7.71
*c1cc2c(OCCCCCCCC)c3sc(-c4sc(*)c5cc(C(=O)OCCCCCCCCCCCC)sc45)cc3c(OCCCCCCCC)c2s1,-1.97,-0.66,-0.48,4.76
*c1cc2c(OCCCCCCCC)c3sc(-c4sc(*)c5cc(C(=O)OCC(CC)CCCC)sc45)cc3c(OCCCCCCCC)c2s1,-1.79,-0.61,-0.48,5.1
*c1cc2c(OCC(CC)CCCC)c3sc(-c4sc(*)c5cc(C(=O)OCCCCCCCC)sc45)cc3c(OCC(CC)CCCC)c2s1,-1.47,-0.47,-0.48,3.02
*c1cc2c(OCC(CC)CCCC)c3sc(-c4sc(*)c5cc(C(=O)OCC(CCCC)CCCCCC)sc45)cc3c(OCC(CC)CCCC)c2s1,-1.47,-0.52,-0.47,2.26
*c1cc2c(CCCCCCCC)c3sc(-c4sc(*)c5cc(C(=O)OCC(CC)CCCC)sc45)cc3c(CCCCCCCC)c2s1,-1.33,-0.42,-0.48,5.53
*c1cc2c(OCCCCCCCC)c3sc(-c4sc(*)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCCCCCCCC)c2s1,-0.97,-0.42,-0.51,5.9
*c1cc2c(-c3ccc(SCCCCCCCC)s3)c3sc(-c4sc(*)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(-c3ccc(SCCCCCCCC)s3)c2s1,-0.2,-0.56,0.07,9.52
*c1cc2c(-c3ccc(SCC(CC)CCCC)s3)c3sc(-c4sc(*)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(-c3ccc(SCC(CC)CCCC)s3)c2s1,-0.2,-0.61,-0.44,8.37
*c1cc2c(-c3ccc(SCCC(C)CCCC(C)C)s3)c3sc(-c4sc(*)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(-c3ccc(SCCC(C)CCCC(C)C)s3)c2s1,-0.2,-0.52,0.92,7.36
*c1cc2c(OCC(CC)CCCC)c3sc(-c4sc(*)c5c4C(=O)N(CC(CC)CCCC)C5=O)cc3c(OCC(CC)CCCC)c2s1,0.67,0.17,0.11,3.9
*c1cc2c(OCC(CC)CCCC)c3sc(-c4sc(*)c5c4C(=O)N(CCC(C)CCCC(C)C)C5=O)cc3c(OCC(CC)CCCC)c2s1,1.07,-0.08,0.19,5.4
*c1cc2c(OCC(CC)CCCC)c3sc(-c4sc(*)c5c4C(=O)N(CCCCCCCC)C5=O)cc3c(OCC(CC)CCCC)c2s1,0.3,0.07,0.03,6.6
*c1cc2c(-c3ccc(CC(CC)CCCC)s3)c3sc(-c4sc(*)c5c4C(=O)N(CCCCCCCC)C5=O)cc3c(-c3ccc(CC(CC)CCCC)s3)c2s1,1.26,0.65,-0.07,6.17
*c1cc2c(-c3ccc(CCCCCCCCCC)s3)c3sc(-c4sc(*)c5c4C(=O)N(CCCCCCCC)C5=O)cc3c(-c3ccc(CCCCCCCCCC)s3)c2s1,0.62,0.41,-0.17,4.51
